,Steady State Probability
Alt-light,0.01085865645850505
Alt-right,5.504216587370089e-62
Anti-Theist,0.009634588655887255
Anti-white,5.641730787770892e-05
Conspiracy,0.012713581096848671
IDW,0.14452204065376462
Libertarian,0.04674583653073834
MRA,1.5924693329782669e-06
Partisan Left,0.13455140619964628
Partisan Right,0.05330000043379606
Religious Conservative,7.604275579757681e-16
Revolutionary Socialist,0.0016370469042130452
Social Justice,0.5466378174434661
Socialist,0.03934101584592298
