,Steady State Probability
Alt-light,0.01
Alt-right,0.00
Anti-Theist,0.01
Anti-white,0.00
Conspiracy,0.01
IDW,0.14
Libertarian,0.05
MRA,0.00
Partisan Left,0.13
Partisan Right,0.05
Religious Conservative,0.00
Revolutionary Socialist,0.00
Social Justice,0.55
Socialist,0.04
Total,1.00
