,Category,Current Channel,Current Video,Current Views,Next Channel,Count,CHANNEL_TITLE,IDEOLOGY
31,Alt-light,Gary Orsum,Q&A June 2020,1827,Liberty University,1,,
32,Alt-light,Gary Orsum,Q&A June 2020,1827,Jimmy Carr,1,,
33,Alt-light,Gary Orsum,Q&A June 2020,1827,HooverInstitution,1,HooverInstitution,Libertarian
34,Alt-light,Gary Orsum,Q&A June 2020,1827,Fox News,3,Fox News,Partisan Right
35,Alt-light,Gary Orsum,Q&A June 2020,1827,Nayeli Magallanes,1,,
36,Alt-light,Gary Orsum,Q&A June 2020,1827,60 Minutes Australia,1,,
37,Alt-light,Very Fake News,Cafe Won't Serve Oakland Police Officers,5471,Very Fake News,1,Very Fake News,Alt-light
38,Alt-light,Very Fake News,Cafe Won't Serve Oakland Police Officers,5471,KPBS,1,,
39,Alt-light,Very Fake News,Cafe Won't Serve Oakland Police Officers,5471,KQED,1,,
40,Alt-light,Very Fake News,Cafe Won't Serve Oakland Police Officers,5471,Ruptly,1,Ruptly,
41,Alt-light,Very Fake News,Cafe Won't Serve Oakland Police Officers,5471,The View,1,The View,Partisan Left
42,Alt-light,Very Fake News,Cafe Won't Serve Oakland Police Officers,5471,Fox News,5,Fox News,Partisan Right
43,Alt-light,TheDC Shorts,Acosta Corrected By McEnany Over 'Protesters' Getting 'Gassed',8750,TheDC Shorts,1,TheDC Shorts,Alt-light
44,Alt-light,TheDC Shorts,Acosta Corrected By McEnany Over 'Protesters' Getting 'Gassed',8750,Fox News,5,Fox News,Partisan Right
45,Alt-light,TheDC Shorts,Acosta Corrected By McEnany Over 'Protesters' Getting 'Gassed',8750,The Hill,2,The Hill,
46,Alt-light,TheDC Shorts,Acosta Corrected By McEnany Over 'Protesters' Getting 'Gassed',8750,SiriusXM,1,,
47,Alt-light,TheDC Shorts,Acosta Corrected By McEnany Over 'Protesters' Getting 'Gassed',8750,CNN,1,CNN,Partisan Left
48,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,Airliner World & More,1,Airliner World & More,Alt-light
49,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,ABC Action News,1,,
50,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,LosGranosTV,1,,
51,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,WWLTV,1,,
52,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,4 News Now,1,,
53,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,USA TODAY,1,USA TODAY,
54,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,Ruptly,1,Ruptly,
55,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,WPLG Local 10,1,,
56,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,Dhar Mann,1,,
57,Alt-light,Airliner World & More,Talking about my encouonter with the Baver,710,Gabriel Iglesias,1,,
58,Alt-light,The Dick Show,How to Deal With a Stinky Fat Guy,12399,The Dick Show,5,The Dick Show,Alt-light
59,Alt-light,The Dick Show,How to Deal With a Stinky Fat Guy,12399,Philosophy Tube,1,Philosophy Tube,Socialist
60,Alt-light,The Dick Show,How to Deal With a Stinky Fat Guy,12399,Achievement Hunter,1,,
61,Alt-light,The Dick Show,How to Deal With a Stinky Fat Guy,12399,Fire Films,1,,
62,Alt-light,The Dick Show,How to Deal With a Stinky Fat Guy,12399,Real Time with Bill Maher,1,Real Time with Bill Maher,Partisan Left
63,Alt-light,The Dick Show,How to Deal With a Stinky Fat Guy,12399,Gabriel Iglesias,1,,
64,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,Rebel News,1,Rebel News,Alt-light
65,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,CBC News,1,CBC News,Partisan Left
66,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,WGN News,1,,
67,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,Yahoo,1,,
68,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,Fox News,1,Fox News,Partisan Right
69,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,Bret Weinstein,1,Bret Weinstein,IDW
70,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,Toronto Sun,1,,
71,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,The Late Show with Stephen Colbert,1,The Late Show with Stephen Colbert,Partisan Left
72,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,J.J. McCullough,1,,
73,Alt-light,Rebel News,BLM outsiders planning “re-education” rally in small Alberta town,62255,CTV News,1,,
74,Alt-light,Shmufkin TV,"Celebrating 2K... no wait, 3K subs! No wait.. 4K subs!!!",2926,Shmufkin TV,1,Shmufkin TV,Alt-light
75,Alt-light,Shmufkin TV,"Celebrating 2K... no wait, 3K subs! No wait.. 4K subs!!!",2926,Fox News,5,Fox News,Partisan Right
76,Alt-light,Shmufkin TV,"Celebrating 2K... no wait, 3K subs! No wait.. 4K subs!!!",2926,Gabriel Iglesias,1,,
77,Alt-light,Shmufkin TV,"Celebrating 2K... no wait, 3K subs! No wait.. 4K subs!!!",2926,NBC News,1,NBC News,Partisan Left
78,Alt-light,Shmufkin TV,"Celebrating 2K... no wait, 3K subs! No wait.. 4K subs!!!",2926,Yahoo,1,,
79,Alt-light,Shmufkin TV,"Celebrating 2K... no wait, 3K subs! No wait.. 4K subs!!!",2926,Zee News,1,,
80,Alt-light,Morrakiu,White Phosphorus Episode 6 (link in description),2382,Morrakiu,1,Morrakiu,Alt-light
81,Alt-light,Morrakiu,White Phosphorus Episode 6 (link in description),2382,Fox News,3,Fox News,Partisan Right
82,Alt-light,Morrakiu,White Phosphorus Episode 6 (link in description),2382,Green Day,1,,
83,Alt-light,Morrakiu,White Phosphorus Episode 6 (link in description),2382,TRT World,1,,
84,Alt-light,Morrakiu,White Phosphorus Episode 6 (link in description),2382,The4thSnake,1,,
85,Alt-light,Morrakiu,White Phosphorus Episode 6 (link in description),2382,FarAwayDistance,1,,
86,Alt-light,Morrakiu,White Phosphorus Episode 6 (link in description),2382,ekaaaj,1,,
87,Alt-light,Morrakiu,White Phosphorus Episode 6 (link in description),2382,Gabriel Iglesias,1,,
88,Alt-light,Candace Owens,Halloween Is Cancelled Because Liberalism.,136596,Candace Owens,1,Candace Owens,Alt-light
89,Alt-light,Candace Owens,Halloween Is Cancelled Because Liberalism.,136596,Fox News,4,Fox News,Partisan Right
90,Alt-light,Candace Owens,Halloween Is Cancelled Because Liberalism.,136596,YouTube,1,,
91,Alt-light,Candace Owens,Halloween Is Cancelled Because Liberalism.,136596,Good Morning America,1,Good Morning America,
92,Alt-light,Candace Owens,Halloween Is Cancelled Because Liberalism.,136596,Yahoo,1,,
93,Alt-light,Candace Owens,Halloween Is Cancelled Because Liberalism.,136596,HooverInstitution,1,HooverInstitution,Libertarian
94,Alt-light,Candace Owens,Halloween Is Cancelled Because Liberalism.,136596,Brent P,1,,
95,Alt-light,Daily Caller,"Foreign Affairs Senator Sounds Off On China, WHO",984,Daily Caller,1,Daily Caller,Alt-light
96,Alt-light,Daily Caller,"Foreign Affairs Senator Sounds Off On China, WHO",984,PBS NewsHour,1,PBS NewsHour,
97,Alt-light,Daily Caller,"Foreign Affairs Senator Sounds Off On China, WHO",984,Discovery UK,1,,
98,Alt-light,Daily Caller,"Foreign Affairs Senator Sounds Off On China, WHO",984,Fox News,5,Fox News,Partisan Right
99,Alt-light,Daily Caller,"Foreign Affairs Senator Sounds Off On China, WHO",984,HooverInstitution,2,HooverInstitution,Libertarian
100,Alt-light,America Uncovered,How 5 Mega-Corporations Control Everything You Watch on TV,64070,America Uncovered,4,America Uncovered,Alt-light
101,Alt-light,America Uncovered,How 5 Mega-Corporations Control Everything You Watch on TV,64070,CrashCourse,1,,
102,Alt-light,America Uncovered,How 5 Mega-Corporations Control Everything You Watch on TV,64070,KING 5,1,,
103,Alt-light,America Uncovered,How 5 Mega-Corporations Control Everything You Watch on TV,64070,ColdFusion,1,,
104,Alt-light,America Uncovered,How 5 Mega-Corporations Control Everything You Watch on TV,64070,Fox News,1,Fox News,Partisan Right
105,Alt-light,America Uncovered,How 5 Mega-Corporations Control Everything You Watch on TV,64070,The Infographics Show,1,,
106,Alt-light,America Uncovered,How 5 Mega-Corporations Control Everything You Watch on TV,64070,TEDx Talks,1,TEDx Talks,
