,Category,Next Channel,Count
175,StateFunded,Town Hall Seattle,2
176,StateFunded,Mount Sinai Health System,2
177,StateFunded,CNA Insider,1
178,StateFunded,CenturaHealth,1
179,StateFunded,ReaganFoundation,1
180,StateFunded,Dragons' Den,3
181,StateFunded,CNBC Television,7
182,StateFunded,Doctor Mike Hansen,4
183,StateFunded,VOA News,3
184,StateFunded,The Telegraph,6
185,StateFunded,9 News Australia,15
186,StateFunded,Quartz,1
187,StateFunded,Eyewitness News ABC7NY,11
188,StateFunded,ABC Action News,1
189,StateFunded,Sputnik,5
190,StateFunded,Top Viral Talent,1
191,StateFunded,LCI,1
192,StateFunded,Rick Steves' Europe,3
193,StateFunded,Hazel Allen,1
194,StateFunded,ARIRANG TV,1
195,StateFunded,space and astronomy,1
196,StateFunded,Thomas Groppi,1
197,StateFunded,RealLifeLore,1
198,StateFunded,Discovery Science,8
199,StateFunded,Space & The Universe HD,1
200,StateFunded,KVIEvideo,1
201,StateFunded,Smithson277,1
202,StateFunded,BBC Documentary,1
203,StateFunded,Brown University,7
204,StateFunded,Sky News,9
205,StateFunded,David Schlotthauer,2
206,StateFunded,FRONTLINE PBS | Official,3
207,StateFunded,IRamzayI,1
208,StateFunded,Mustard,3
209,StateFunded,Eddie Bauer,2
210,StateFunded,The News & Observer,1
211,StateFunded,Cars Overview,1
212,StateFunded,Carmelo Anthony,4
213,StateFunded,LA-OC.tv,4
214,StateFunded,Arcadia Boosted,6
215,StateFunded,Johnny Bigger,2
216,StateFunded,Sky News Australia,11
217,StateFunded,The Royal Institution,4
218,StateFunded,University of Kentucky College of Arts & Sciences,4
219,StateFunded,92nd Street Y,17
220,StateFunded,Channel 4 News,5
221,StateFunded,CNBC Make It.,5
222,StateFunded,NBCLA,3
223,StateFunded,Brian Tyler Cohen,3
224,StateFunded,TeleSUR English,11
225,StateFunded,AltoqueTV4,1
226,StateFunded,vitaloneorg,1
227,StateFunded,VICE News,2
228,StateFunded,AJ+,9
229,StateFunded,Cheddar,1
230,StateFunded,The Infographics Show,2
231,StateFunded,Tulsa Public Schools,1
232,StateFunded,Medlife Crisis,1
233,StateFunded,Unreported World,1
234,StateFunded,Kevin O'Leary,5
235,StateFunded,Modern Aging - Holistic Health and Wealth After 50,1
236,StateFunded,Second Thought,1
237,StateFunded,ABC News In-depth,9
238,StateFunded,PBS,3
239,StateFunded,True Stories,3
240,StateFunded,Good Morning America,4
241,StateFunded,Evening Standard,1
242,StateFunded,Entertainment Tonight,3
243,StateFunded,The Independent,2
244,StateFunded,BBC Trending,5
245,StateFunded,Android games,1
246,StateFunded,i24NEWS English,3
247,StateFunded,Garth Collins - Voice Overs,1
248,StateFunded,TED,4
249,StateFunded,BBC Learning English,1
250,StateFunded,Its Frozen - Fortnite,1
251,StateFunded,RankingMan,1
252,StateFunded,Studio 10,3
253,StateFunded,inhighspeed,1
254,StateFunded,University of Notre Dame,2
255,StateFunded,THNKR,2
256,StateFunded,News Be Funny,2
257,StateFunded,RT,6
258,StateFunded,ABC10,2
259,StateFunded,NBC New York,3
260,StateFunded,Inside Edition,2
261,StateFunded,CTV News,1
262,StateFunded,UPROXX,1
263,StateFunded,ABC News,4
264,StateFunded,A&E,3
265,StateFunded,Watching the Hawks RT,1
266,StateFunded,Saturday Night Live,1
267,StateFunded,jimgaffigan,2
268,StateFunded,LegalEagle,4
269,StateFunded,The Fifth Estate,5
270,StateFunded,America From Scratch,7
271,StateFunded,CrashCourse,1
272,StateFunded,Science ABC,1
273,StateFunded,J.J. McCullough,1
274,StateFunded,The Atlantic,1
275,StateFunded,Illustrate to Educate,1
276,StateFunded,Real Engineering,3
277,StateFunded,KPBS,1
278,StateFunded,South China Morning Post,1
279,StateFunded,John Anderson,1
280,StateFunded,Smithsonian Channel,1
281,StateFunded,Discovery UK,1
282,StateFunded,TED-Ed,5
283,StateFunded,ONE ON ONE SERIES,1
284,StateFunded,Ο Πρωθυπουργός,1
285,StateFunded,ABC News (Australia),14
286,StateFunded,Jomboy Media,1
287,StateFunded,Jimmy Kimmel Live,3
288,StateFunded,41 Action News,1
289,StateFunded,Channel 4,1
290,StateFunded,7NEWS Australia,2
291,StateFunded,KMTV 3 News Now,1
292,StateFunded,Matt Rittman,1
293,StateFunded,KENS 5: Your San Antonio News Source,1
294,StateFunded,Jabez,1
295,StateFunded,Anadolu Agency,1
296,StateFunded,TMJ4 News,1
297,StateFunded,Ruptly,3
298,StateFunded,Going Underground on RT,6
299,StateFunded,American Museum of Natural History,3
300,StateFunded,11Alive,4
301,StateFunded,Bloomberg QuickTake Originals,2
302,StateFunded,HuffPost,1
303,StateFunded,itsJerian,1
304,StateFunded,Ben G Thomas,1
305,StateFunded,WonderWhy,1
306,StateFunded,Hook,1
307,StateFunded,alpha m.,1
308,StateFunded,Washington Week,1
309,StateFunded,Late Night with Seth Meyers,2
310,StateFunded,Real Time with Bill Maher,1
311,StateFunded,CBSDFW,2
312,StateFunded,WWLP-22News,1
313,StateFunded,Guardian News,1
314,StateFunded,Associated Press,1
315,StateFunded,Timeline - World History Documentaries,1
316,StateFunded,BMOnus,2
