,Category,Next Channel,Count
144,ReligiousConservative,Zoe Amira,1
145,ReligiousConservative,REVOLT TV,1
146,ReligiousConservative,Studio 10,4
147,ReligiousConservative,Reagan Library,2
148,ReligiousConservative,Carmelo Anthony,2
149,ReligiousConservative,VICE,3
150,ReligiousConservative,MotivationHub,1
151,ReligiousConservative,Discourse TV,1
152,ReligiousConservative,Trigger Happy Media,1
153,ReligiousConservative,Sovereign Nations,4
154,ReligiousConservative,Aubrey Marcus,1
155,ReligiousConservative,Bioneers,3
156,ReligiousConservative,WordToTheWise,6
157,ReligiousConservative,Zane,2
158,ReligiousConservative,ABC News,4
159,ReligiousConservative,Jordan B Peterson Clips,7
160,ReligiousConservative,Think Club Archive,2
161,ReligiousConservative,National Gallery of Canada,1
162,ReligiousConservative,Jordan Peterson Fan Club,4
163,ReligiousConservative,Going Underground on RT,1
164,ReligiousConservative,UnHerd,1
165,ReligiousConservative,Practical Psychology,1
166,ReligiousConservative,Valuetainment,1
167,ReligiousConservative,Larry King,2
168,ReligiousConservative,Bret Weinstein,2
169,ReligiousConservative,The 700 Club,1
170,ReligiousConservative,FOX 10 Phoenix,3
171,ReligiousConservative,MSNBC,2
172,ReligiousConservative,Eckhart Tolle,1
173,ReligiousConservative,Christ Community Chapel,2
174,ReligiousConservative,Catholic Answers,2
175,ReligiousConservative,Vox Catholica,1
176,ReligiousConservative,92nd Street Y,1
177,ReligiousConservative,Rick & Bubba,36
178,ReligiousConservative,YouTube,6
179,ReligiousConservative,ZenLifeRelax,1
180,ReligiousConservative,Girl Defined,16
181,ReligiousConservative,Cody Ko,5
182,ReligiousConservative,Tiffany Dawn,1
183,ReligiousConservative,Nate and Sutton,4
184,ReligiousConservative,Raffy Tulfo in Action,1
185,ReligiousConservative,God is Grey,1
186,ReligiousConservative,SHAWSTRENGTH,1
187,ReligiousConservative,Elevation Church,3
188,ReligiousConservative,Bad Friends,1
189,ReligiousConservative,Fresh Lifestyle,1
190,ReligiousConservative,Rachel Oates,2
191,ReligiousConservative,BBC Documentary,1
192,ReligiousConservative,Stephanie Harlowe,1
193,ReligiousConservative,Danelle Hallan,1
194,ReligiousConservative,Angel Moret,1
195,ReligiousConservative,Centennial Institute,1
196,ReligiousConservative,FRONTLINE PBS | Official,2
197,ReligiousConservative,Trending with Timmerie,1
198,ReligiousConservative,David Heavener - Last Evangelist,2
199,ReligiousConservative,Kenneth Copeland Ministries,13
200,ReligiousConservative,St Paul's Cathedral,3
201,ReligiousConservative,Talks at Google,10
202,ReligiousConservative,The Way World Outreach,2
203,ReligiousConservative,Attar,1
204,ReligiousConservative,EncourageTV,1
205,ReligiousConservative,Conversations with Bill Kristol,14
206,ReligiousConservative,UW Video,1
207,ReligiousConservative,WisdomTalks,4
208,ReligiousConservative,GeenStijl,1
209,ReligiousConservative,SUCCESS CHASERS,2
210,ReligiousConservative,Dustin Larocque,2
211,ReligiousConservative,Missing The Mark,4
212,ReligiousConservative,HTB Church,2
213,ReligiousConservative,The Royal Institution,5
214,ReligiousConservative,American Museum of Natural History,3
215,ReligiousConservative,The Atheist Experience,1
216,ReligiousConservative,Big Think,1
217,ReligiousConservative,The Met,9
218,ReligiousConservative,Tomorrow's World Viewpoint,13
219,ReligiousConservative,BYU Department of Anthropology,1
