,Steady State Probability
PartisanRight,0.00
Conspiracy,0.02
PartisanLeft,0.00
SocialJustice,0.00
Libertarian,0.01
AntiSJW,0.02
MissingLinkMedia,0.17
WhiteIdentitarian,0.02
AIN,0.00
ManoelAltRight,0.04
MRA,0.00
ReligiousConservative,0.00
ManoelIDW,0.00
Provocateur,0.01
ManoelAltLite,0.27
Socialist,0.02
Mainstream News,0.00
TV,0.00
AntiTheist,0.01
StateFunded,0.00
Educational,0.22
LateNightTalkShow,0.01
Revolutionary,0.01
AntiWhiteness,0.17
Politician,0.00
